da01825f-21eb-4e69-8a4f-5f6966b55d1c	3. Concerning ethnic German repatriates as neighbors: How pleasant or unpleasant would an ethnic German repatriate be as neighbor for you? Answering options provided range from -3 very unpleasant for me to +3 would be very pleasant for me. 
f9df9c8f-435c-4d75-9724-f178df7eb6fe	 In the ALLBUS survey, individuals are asked which party they would vote for if there were general elections the subsequent Sunday.
55765f55-750e-4ef7-890b-58d6402dfe3f	“Foreigners living in Germany should choose to marry people of their own nationality.” 
fd3ebf6a-d8eb-4b7b-8420-8fdb8a01c280	People from non-EU countries, e.g. Turkey coming to work here? (Should entry be restricted or not?) 
2866c724-a37f-456b-80e5-f63ffbb1b01c	 The two main dependent variables are being born outside Germany and not having German citizenship. 
847a8ce9-7a77-4796-811e-99b0a38a3f9d	The average number of children for respondents who never pray was only 1.39 compared to 2.06 for those who pray daily. 
845da88f-d0e9-42db-ac8f-695054a9f868	“Only if differences in income and social standing are large enough is there an incentive for individual effort.” 
a607fb40-1c17-4cbf-9c40-a1f31ec21cac	Those waves contain the respondents’ level of agreement to the statements “Income differences give incentives to work hard.”, “Rank differences are performance based and therefore acceptable”, and “Differences in social status are just — by and large.” 
d54c1daa-0b89-4485-bd08-ed83338d72dc	The main independent variable is winning and losing, measured by the ‘zweitestimme’ question, which asks for the party for which respondents voted in the most recent Federal election. 
c1b264be-1c52-4d0e-95e0-c3a8bb4ce81c	The first question asks whether “social benefits” should be cut or extended, referring to general social insurance policies. 
2c7eacd0-7835-470f-99f4-183f847d9442	The Internet access status of all ALLBUS respondents was ascertained. 
86c397fa-c60d-4799-830a-a8391495b3a5	 There was an increase from 71% of the population stating they were “very proud” or “fairly proud” a few months before the games to 78% of the population stating they possessed these positive feelings during the games. 
89f2ed3e-e871-44cb-8128-81201d1357b1	 People seeking asylum? (Should entry be restricted or not?) 
658568a8-9a54-4b7f-859f-1e94c2f8d0e3	To test this, we analyzed data on the strength of individuals’ identiﬁcation with their home town and its inhabitants from the German ALLBUS surveys. 
76bae52b-48fb-4424-b531-73dc3bf368ad	In the regressions that focus on preferences for work we include the evaluation of the importance of: own family and children, leisure and relaxation, friends and acquaintances, and relatives – as they represent competing means of time-use.
8ed39b94-0e44-4623-abee-9321096260f7	“Everybody should get the money he needs - regardless of any performance.” 
dd9c056f-6fe3-4776-83b4-5b42e3e9c865	All Internet users were then asked whether they were willing to participate in a scientific follow-up survey conducted by GESIS Leibniz Institute for the Social Sciences. 
0112dd87-0b39-447a-b86b-39acd97d5d60	 Estimates document that those more worried for the future tend to report a 9.25% lower life satisfaction than the others.
9b730082-9ec6-4391-8d18-c5b4c6d93efe	Foreigners are the reason for shortages in the German housing market 
24a27c70-1f3b-4ead-97ea-965b8a9989cb	“Rank differences are performance based and therefore acceptable.” 
84e74d7f-7657-4666-8064-45738f7a42cf	Figure II clearly illustrates that there was no significant difference in the strength of identification of Catholics and Protestants in Bavaria in 1991 (though with Catholics feeling slightly more attached on average), but that Catholics were signiﬁcantly less likely to strongly identify with their communities in 2008, after the reuniﬁcation migration wave (statistically signiﬁcant at 10 percent). 
